,year,protest_time
2091,2005,4
2092,2006,1
2093,2006,1
2094,2006,1
2095,2006,1
2096,2007,1
2097,2007,1
2098,2007,1
2099,2007,1
2100,2007,3
2101,2007,1
2102,2007,1
2103,2007,1
2104,2007,1
2105,2008,1
2106,2008,15
2107,2008,1
2108,2008,1
2109,2008,1
2110,2009,3
2111,2009,1
2112,2009,7
2113,2010,1
2114,2010,1
2115,2010,1
2116,2010,1
2117,2010,2
2118,2011,1
2119,2011,1
2120,2011,1
2121,2012,10
2122,2012,1
2123,2012,1
2124,2013,1
2125,2013,1
2126,2013,1
2127,2013,1
2128,2013,1
2129,2013,1
2130,2013,1
2131,2013,1
2132,2013,2
2133,2013,1
2134,2013,1
2135,2013,2
2136,2013,3
2137,2013,1
2138,2013,1
2139,2013,1
2140,2013,1
2141,2013,1
2142,2013,1
2143,2013,32
